Year,FIPS,Name,Percentage of family or people whose have income in the last 12 months below poverty level,Median family income (dollars)
2005,01003,"Baldwin County, Alabama",10.2,46946
2005,01015,"Calhoun County, Alabama",12.3,44912
2005,01043,"Cullman County, Alabama",-999999999.0,43494
2005,01049,"DeKalb County, Alabama",18.0,38002
2005,01051,"Elmore County, Alabama",-999999999.0,53563
2005,01055,"Etowah County, Alabama",12.6,39493
2005,01069,"Houston County, Alabama",11.0,51032
2005,01073,"Jefferson County, Alabama",13.0,51350
2005,01077,"Lauderdale County, Alabama",15.1,43472
2005,01081,"Lee County, Alabama",11.7,51280
2005,01083,"Limestone County, Alabama",-999999999.0,47205
2005,01089,"Madison County, Alabama",7.4,66337
2005,01095,"Marshall County, Alabama",17.0,41997
2005,01097,"Mobile County, Alabama",16.9,43184
2005,01101,"Montgomery County, Alabama",15.2,47962
2005,01103,"Morgan County, Alabama",10.9,51762
2005,01115,"St. Clair County, Alabama",-999999999.0,54198
2005,01117,"Shelby County, Alabama",4.3,75674
2005,01121,"Talladega County, Alabama",15.4,38441
2005,01125,"Tuscaloosa County, Alabama",17.2,46421
2005,01127,"Walker County, Alabama",11.2,42164
2005,02020,"Anchorage Municipality, Alaska",6.7,72931
2005,02090,"Fairbanks North Star Borough, Alaska",-999999999.0,67562
2005,02170,"Matanuska-Susitna Borough, Alaska",-999999999.0,61965
2005,04001,"Apache County, Arizona",37.6,27994
2005,04003,"Cochise County, Arizona",10.7,42785
2005,04005,"Coconino County, Arizona",12.2,50760
2005,04013,"Maricopa County, Arizona",9.5,56818
2005,04015,"Mohave County, Arizona",11.3,42527
2005,04017,"Navajo County, Arizona",23.8,33883
2005,04019,"Pima County, Arizona",11.3,49722
2005,04021,"Pinal County, Arizona",11.4,43397
2005,04025,"Yavapai County, Arizona",8.5,47433
2005,04027,"Yuma County, Arizona",16.6,38673
2005,05007,"Benton County, Arkansas",5.7,54388
2005,05031,"Craighead County, Arkansas",14.0,43590
2005,05045,"Faulkner County, Arkansas",-999999999.0,52994
2005,05051,"Garland County, Arkansas",13.8,42208
2005,05069,"Jefferson County, Arkansas",14.2,40104
2005,05119,"Pulaski County, Arkansas",11.1,52339
2005,05125,"Saline County, Arkansas",6.6,56289
2005,05131,"Sebastian County, Arkansas",13.1,43473
2005,05143,"Washington County, Arkansas",9.5,49431
2005,05145,"White County, Arkansas",14.4,41147
2005,06001,"Alameda County, California",9.0,74662
2005,06007,"Butte County, California",14.7,50078
2005,06013,"Contra Costa County, California",6.3,82641
2005,06017,"El Dorado County, California",5.7,76065
2005,06019,"Fresno County, California",16.9,46742
2005,06023,"Humboldt County, California",9.4,50295
2005,06025,"Imperial County, California",18.0,37483
2005,06029,"Kern County, California",18.0,45111
2005,06031,"Kings County, California",17.1,44391
2005,06033,"Lake County, California",-999999999.0,47643
2005,06037,"Los Angeles County, California",13.4,53431
2005,06039,"Madera County, California",12.3,50046
2005,06041,"Marin County, California",4.5,99713
2005,06045,"Mendocino County, California",13.6,47838
2005,06047,"Merced County, California",15.0,44447
2005,06053,"Monterey County, California",11.7,60190
2005,06055,"Napa County, California",-999999999.0,72007
2005,06057,"Nevada County, California",-999999999.0,62306
2005,06059,"Orange County, California",6.4,74396
2005,06061,"Placer County, California",3.5,74127
2005,06065,"Riverside County, California",9.1,58452
2005,06067,"Sacramento County, California",10.5,60134
2005,06071,"San Bernardino County, California",12.3,53506
2005,06073,"San Diego County, California",8.0,66178
2005,06075,"San Francisco County, California",8.9,73180
2005,06077,"San Joaquin County, California",11.3,57774
2005,06079,"San Luis Obispo County, California",8.7,60731
2005,06081,"San Mateo County, California",4.7,82376
2005,06083,"Santa Barbara County, California",8.1,63763
2005,06085,"Santa Clara County, California",6.0,89716
2005,06087,"Santa Cruz County, California",6.4,79934
2005,06089,"Shasta County, California",10.1,51107
2005,06095,"Solano County, California",6.7,71635
2005,06097,"Sonoma County, California",5.8,70175
2005,06099,"Stanislaus County, California",11.1,53396
2005,06101,"Sutter County, California",-999999999.0,57877
2005,06107,"Tulare County, California",19.2,41192
2005,06111,"Ventura County, California",7.2,75157
2005,06113,"Yolo County, California",7.3,63260
2005,06115,"Yuba County, California",-999999999.0,42655
2005,08001,"Adams County, Colorado",9.8,56053
2005,08005,"Arapahoe County, Colorado",7.5,67456
2005,08013,"Boulder County, Colorado",6.0,77766
2005,08031,"Denver County, Colorado",12.0,52139
2005,08035,"Douglas County, Colorado",2.4,99531
2005,08041,"El Paso County, Colorado",9.1,61719
2005,08059,"Jefferson County, Colorado",4.9,73355
2005,08069,"Larimer County, Colorado",7.9,64088
2005,08077,"Mesa County, Colorado",11.5,46858
2005,08101,"Pueblo County, Colorado",16.8,45765
2005,08123,"Weld County, Colorado",8.9,57009
