,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Monthly Visits,Operating Status,Closed Date,Website,Twitter,LinkedIn,Founders,Acquisition Status,Acquired by
0,Maude,"Consumer Goods, E-Commerce, Health Care, Personal Health, Wellness","Brooklyn, New York, United States",Maude is an essentials brand with a focus on access to sexual wellness products.,62,"197,742",Active,—,getmaude.com,View on Twitter,View on LinkedIn,Eva Goicochea,—,—
1,Okta,"CRM, Enterprise Software, Identity Management, IT Infrastructure, Management Information Systems, Software, Web Development","San Francisco, California, United States",Okta is a management platform that secures critical resources from cloud to ground for workforce and customers.,68,"136,974,094",Active,—,www.okta.com,View on Twitter,View on LinkedIn,"Frédéric Kerrest, Todd McKinnon",Made Acquisitions,—
2,GitHub,"Cloud Computing, Developer Tools, Internet, Project Management, Software","San Francisco, California, United States",GitHub provides code hosting services that allow developers to build software for open-source and private projects in organizations.,76,"885,576,524",Active,—,github.com,View on Twitter,View on LinkedIn,"Chris Wanstrath, PJ Hyett, Scott Chacon, Tom Preston-Werner","Made Acquisitions, Was Acquired",Microsoft
3,Pinterest,"Internet, Social Bookmarking, Social Media, Social Network, Software","San Francisco, California, United States",Pinterest is a visual bookmarking tool for saving and discovering creative ideas.,141,"730,149,026",Active,—,pinterest.com,View on Twitter,View on LinkedIn,"Ben Silbermann, Evan Sharp, Paul Sciarra",Made Acquisitions,—
4,Paro,"Accounting, Advice, Artificial Intelligence, Business Development, Finance, Financial Services, Freelance","Chicago, Illinois, United States",Paro provides on-demand bookkeeping and financial services powered by AI technology.,231,"28,230",Active,—,www.paro.ai,View on Twitter,View on LinkedIn,"Dan Wywrot, Michael Burdick",—,—
5,Latch,"Apps, Artificial Intelligence, Smart Home, Software","New York, New York, United States","Latch is a full-building operating system of software, products, and services designed to make every building better.",234,"226,332",Active,—,www.Latch.com,View on Twitter,View on LinkedIn,"Brian Jones, Luke Schoenfelder, Thomas Meyerhoffer",Made Acquisitions,—
6,Luminar,"Automotive, Autonomous Vehicles, Sensor, Software","Orlando, Florida, United States","Luminar is an autonomous vehicle and lidar technology company for passenger cars, commercial trucking and robo-taxi.",257,"61,778",Active,—,www.luminartech.com/,View on Twitter,View on LinkedIn,"Austin Russell, Jason Eichenholz",Made Acquisitions,—
7,Archer,"Aerospace, Air Transportation, Manufacturing","San Francisco, California, United States",Archer Aviation aims to accelerate the benefits of sustainable air mobility.,613,"84,861",Active,—,www.archer.com,View on Twitter,View on LinkedIn,"Adam Goldstein, Brett Adcock",—,—
8,Delivery Hero,"E-Commerce, Food Delivery, Internet, Same Day Delivery","Berlin, Berlin, Germany",Delivery Hero is a network of online food ordering sites with over 100 restaurant partners worldwide.,667,"4,029,289",Active,—,www.deliveryhero.com,View on Twitter,View on LinkedIn,"CJ Foo, Kolja Hebenstreit, Lukasz Gadowski, Markus Fuhrmann, Niklas Ostberg",Made Acquisitions,—
9,DigitalOcean,"Cloud Computing, SaaS, Virtualization, Web Hosting","New York, New York, United States","DigitalOcean provides a cloud platform to deploy, manage, and scale applications of any size.",696,"19,821,292",Active,—,www.digitalocean.com,View on Twitter,View on LinkedIn,"Alec Hartman, Ben Uretsky, Mitch Wainer, Moisey Uretsky",Made Acquisitions,—
